,subject,session,scan,cjv,cnr,efc,fber,fwhm,fwhm_x,fwhm_y,fwhm_z,icvs_csf,icvs_gm,icvs_wm,inu_med,inu_range,qi1,qi2,rpve_csf,rpve_gm,rpve_wm,size_x,size_y,size_z,snr,snr_csf,snr_gm,snr_wm,spacing_x,spacing_y,spacing_z,summary_mean_bg,summary_mean_csf,summary_mean_gm,summary_mean_wm,summary_p05_bg,summary_p05_csf,summary_p05_gm,summary_p05_wm,summary_p95_bg,summary_p95_csf,summary_p95_gm,summary_p95_wm,summary_stdv_bg,summary_stdv_csf,summary_stdv_gm,summary_stdv_wm
0,sub-01,single_session,T1w,0.481441676617,1.89086174965,0.499140220533,293.651245117,3.81996,3.81142,3.88095,3.76835,0.206384302367,0.436015726349,0.357599971284,0.963785290718,0.34682585597,0.0046320420232,0.812703051715,97869.53125,179528.3125,64575.2460938,176,256,256,20.3761673924,12.2017333809,19.2855406277,29.6412281686,1.0,1.0,1.0,241.162078857,84.4360961914,145.698623657,283.856201172,99.0,35.640007019,28.9800624847,90.3600769043,388.0,139.0,256.0,406.0,92.6158981323,54.941204071,71.1910171509,102.722297668
1,sub-07,single_session,T1w,0.500545442104,1.77093100548,0.499025633413,308.467895508,3.98215,3.86439,4.02596,4.05886,0.212636227775,0.397339558478,0.390024213747,0.76909071207,0.283448469639,0.00276725571303,0.95338144747,96104.859375,188426.671875,66605.734375,176,256,256,20.1457454307,12.6785427942,19.3242185571,28.4344749406,1.0,1.0,1.0,245.74458313,89.4290847778,143.565597534,284.234283447,106.0,38.3800048828,30.9700775146,95.830078125,382.0,144.0,258.0,397.0,88.7417221069,49.0686264038,72.1247329712,97.2336883545
2,sub-09,single_session,T1w,0.494881391525,1.73699307442,0.556951827372,184.331985474,3.83476,3.75089,3.89406,3.8608,0.223029522467,0.408325838913,0.368644638621,1.0124322176,0.402498853207,0.00168412755205,0.95218745412,97313.0,176410.859375,66336.8359375,176,256,256,16.2681526232,9.64770354497,15.5614385925,23.5953157321,1.0,1.0,1.0,205.037216187,72.4171218872,122.400688171,242.043060303,80.0,30.2400035858,22.7199993134,75.2400665283,330.0,118.0,221.0,346.0,79.9022903442,40.0082817078,61.6718635559,87.4557495117
3,sub-14,single_session,T1w,0.573848307133,1.49584186077,0.510470375664,142.289886475,3.97678,3.75543,4.19292,3.9941,0.224012504927,0.383933627029,0.392053868044,1.29252743721,0.522980391979,0.0327074025378,0.989507878741,79908.6953125,146174.328125,71166.7109375,176,256,256,13.7531446876,7.81584983174,13.7741525523,19.6694316787,0.999999940395,0.999999940395,1.0,217.920776367,75.7555236816,132.139724731,251.250915527,75.0,30.0600032806,28.3799972534,75.6400909424,350.0,128.0,234.0,367.0,86.6656646729,39.2399291992,64.4930725098,95.6035079956
4,sub-10,single_session,T1w,0.490977406502,1.70047438145,0.555643306124,182.336242676,3.93542,3.76946,4.03689,4.0054,0.193040365162,0.433299636611,0.373659998228,1.0179284811,0.425215154886,0.000957420069494,0.815545835285,99217.0390625,196961.140625,72762.8984375,176,256,256,16.2378481113,9.99734648303,15.4140453633,23.3021524874,1.0,1.0,1.0,207.408081055,71.6184692383,125.404045105,239.543380737,87.0,28.7300033569,25.7600479126,72.5400543213,332.0,119.0,222.0,348.0,77.9302825928,43.5874481201,60.7613105774,88.8143768311
5,sub-11,single_session,T1w,0.486289232969,1.93761837482,0.489662451072,314.21887207,4.01852,3.9805,4.05726,4.01818,0.202868167665,0.422219422971,0.374912409364,0.881152510643,0.320187413692,0.0708889901603,1.04732255047,85422.8203125,168885.625,59287.2890625,176,256,256,20.6273911021,13.0125248684,19.5637814045,29.3058670333,1.0,1.0,1.0,242.918716431,87.1408157349,145.001602173,281.37020874,107.0,36.8900032043,31.680065155,91.1400527954,382.0,140.0,253.0,398.0,88.1248168945,48.2371711731,70.2658843994,100.033737183
6,sub-02,single_session,T1w,0.485586881638,1.73722338676,0.522522500383,235.415740967,4.15111,4.09668,4.16021,4.19706,0.189588005609,0.436041839883,0.374370154509,0.877372801304,0.365817442536,0.00428820896834,0.958332246889,87168.8203125,178484.140625,60917.46875,176,256,256,17.962937314,10.7958443883,17.1114012279,25.9815663257,1.0,1.0,1.0,233.249359131,77.6550140381,141.279525757,274.480743408,93.0,30.4199981689,29.2599983215,84.4000549316,374.0,128.999923706,244.0,388.0,89.9376678467,49.8738708496,67.4229812622,99.6555252075
7,sub-04,single_session,T1w,0.485054254532,1.93953895569,0.533272540537,215.655380249,3.86227,3.7949,3.95619,3.83751,0.230739110824,0.41453477784,0.354726111336,1.06085944176,0.381654334068,0.0152149684491,0.8866476855,84204.6953125,164129.765625,56676.4804688,176,256,256,17.4134285484,9.83479113684,16.6096788341,25.7958156743,1.0,1.0,1.0,218.770385742,75.7974319458,132.167480469,264.850982666,79.0,32.2000045776,26.9999980927,84.8000946045,359.0,125.0,236.0,376.0,89.1098709106,44.5218505859,65.9173431396,94.6980667114
8,sub-25,single_session,T1w,0.540389180183,1.38236546516,0.508165017207,145.562667847,3.84157,3.74015,3.88127,3.90537,0.206264869461,0.394794080464,0.398941050075,1.13309848309,0.474114191532,0.0599279145384,0.909585829868,83817.3359375,153095.890625,69517.3359375,176,256,256,14.1543442257,8.77416325491,13.9801627438,19.7087066786,0.999999940395,0.999999940395,1.0,234.958236694,85.3286972046,142.200363159,266.403289795,95.0,33.8200035095,29.5999984741,81.9000778198,367.0,145.0,253.0,383.0,85.192237854,43.0507965088,69.437789917,96.5827255249
9,sub-18,single_session,T1w,0.515369474888,1.71977162361,0.519462493789,217.701156616,3.86881,3.81284,3.88913,3.90509,0.221776061437,0.408506480336,0.369717458227,1.10494327545,0.37795997858,0.0188623528569,0.995265886762,92090.9453125,170519.5625,67629.2578125,176,256,256,17.1056284553,10.4177606455,16.4369997884,24.4621249319,1.0,1.0,1.0,215.413406372,78.5033798218,130.201782227,250.796127319,88.0,32.8920059204,29.2500032425,80.1500701904,342.0,128.0,230.0,358.0,81.3125610352,45.4857521057,63.2784957886,90.6780929565
