,subject,session,scan,dvars,efc,fber,fwhm,fwhm_x,fwhm_y,fwhm_z,gcor,gsr_x,gsr_y,m_tsnr,mean_fd,num_fd,outlier,perc_fd,quality,size_t,size_x,size_y,size_z,snr,spacing_tr,spacing_x,spacing_y,spacing_z,summary_mean_bg,summary_mean_fg,summary_p05_bg,summary_p05_fg,summary_p95_bg,summary_p95_fg,summary_stdv_bg,summary_stdv_fg,tr
0,sub-23,single_session,task-flanker_run-2,0.146572187543,0.531735633277,80.8496932983,6.47179,5.74856,6.47914,7.27776,0.252150627032,0.00102644041181,0.0401656292379,47.2154159546,0.030039291317,0.0,0.000327945205479,0.0,0.0079785439726,146,64,64,40,5.51701579387,2.0,3.0,3.0,4.0,44.0234909058,698.670898438,13.4452056885,450.98321991,171.157531738,889.174301147,66.1217727661,129.436676025,2.0
1,sub-03,single_session,task-flanker_run-2,0.145500570536,0.522194657097,74.114074707,6.74667,6.01728,6.79778,7.5076,0.0569556510612,0.0207380373031,0.0365388020873,47.1850280762,0.080200962253,0.0,0.00111424657534,0.0,0.0107401232877,146,64,64,40,5.24188563582,2.0,3.0,3.0,4.0,45.3713340759,701.772460938,13.1712331772,435.818139648,188.294172668,892.82565918,69.6148681641,137.871841431,2.0
2,sub-12,single_session,task-flanker_run-1,0.14566205442,0.514669620673,84.8790817261,5.89709,5.22995,6.0671,6.46299,0.0128019876676,0.00483519677073,0.0492195412517,55.9940032959,0.0647765836189,0.0,0.00067,0.0,0.00947054568493,146,64,64,40,5.87356454153,2.0,3.0,3.0,4.0,42.7298126221,732.575866699,13.2602739334,489.219859314,180.720204926,918.306143188,69.2345275879,127.605514526,2.0
3,sub-02,single_session,task-flanker_run-2,0.158623576164,0.527798195996,67.6617279053,6.31902,5.59983,6.38515,7.05673,0.0191940281489,-0.00408449349925,0.0562960058451,53.2593765259,0.0545690487488,0.0,0.000871780821918,0.0,0.0110880706164,146,64,64,40,5.72440189965,2.0,3.0,3.0,4.0,48.6820526123,728.32019043,13.8561639786,478.721562195,197.89828949,913.904455566,75.6386260986,130.424194336,2.0
4,sub-17,single_session,task-flanker_run-2,0.162327975035,0.532586618063,69.4521789551,6.26441,5.55014,6.38841,6.93338,0.00508316902265,-0.00367028452456,0.0402145572007,50.7909202576,0.13072331158,0.0,0.000832534246575,0.0,0.0108985053425,146,64,64,40,5.59040684919,2.0,3.0,3.0,4.0,46.1819648743,691.424194336,13.3287668228,458.216424561,190.322257233,876.736987305,70.8600692749,126.273414612,2.0
5,sub-12,single_session,task-flanker_run-2,0.144610583782,0.515054472765,84.2430725098,5.87543,5.23158,6.02818,6.43131,0.0226075436971,0.00407238444313,0.0496689081192,56.0769386292,0.0466962429953,0.0,0.000621780821918,0.0,0.00958082534247,146,64,64,40,5.85754822464,2.0,3.0,3.0,4.0,42.8338317871,730.505493164,13.1780824661,486.082196045,180.609588623,917.506835938,69.3150939941,127.392181396,2.0
6,sub-16,single_session,task-flanker_run-1,0.154595032334,0.588049375678,72.9787063599,6.40136,5.62329,6.42558,7.2596,0.0139924189816,-0.00220266869292,0.0528931170702,46.2850799561,0.0803514570773,0.0,0.000701301369863,0.0,0.0118314749315,146,64,64,40,5.31687892257,2.0,3.0,3.0,4.0,43.9164161682,635.598510742,13.3356161118,436.757878113,168.622605896,829.405133057,61.8338775635,119.896934509,2.0
7,sub-24,single_session,task-flanker_run-1,0.152881249785,0.548353899282,66.4624786377,6.04339,5.41079,6.16209,6.61992,0.0091705044655,8.92142415978e-05,0.0449340231717,46.0572624207,0.069638785533,0.0,0.000611438356164,0.0,0.013955280137,146,64,64,40,5.55851546945,2.0,3.0,3.0,4.0,47.2874107361,670.501342773,13.6575345993,445.516082764,190.017120361,853.239746094,68.9617156982,122.893104553,2.0
8,sub-26,single_session,task-flanker_run-1,0.16913408041,0.568520731657,42.0606384277,5.9605,5.30993,6.11369,6.52311,0.00695495572809,-0.00108463468496,0.0628261640668,43.9732780457,0.0623147692884,0.0,0.000516438356164,0.0,0.0138810982192,146,64,64,40,5.63498549139,2.0,3.0,3.0,4.0,61.1332435608,667.223571777,15.5821914673,441.548298645,248.089035034,845.890380859,85.0390014648,121.016021729,2.0
9,sub-17,single_session,task-flanker_run-1,0.164087831974,0.531279346689,71.9449005127,6.32788,5.58235,6.48735,6.99666,0.0129422341308,-0.00271034543402,0.0408114232123,49.2238464355,0.122660824806,0.0,0.00195650684932,0.0,0.0113743463699,146,64,64,40,5.59315342303,2.0,3.0,3.0,4.0,45.5168685913,693.834533691,13.4041099548,460.213696289,189.617810059,878.180834961,69.8259887695,126.707214355,2.0
